,Event.Id,Investigation.Type,Accident.Number,Event.Date,Country,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,year,month,day,Make/Model,model_new,City,State
16886,20001213X30271,Accident,LAX87LA122B,1987-02-22,United States,045,NUT TREE,Non-Fatal,Destroyed,Airplane,N8070E,cessna,172n,No,1.0,Reciprocating,Personal,0.0,1.0,4.0,0.0,VMC,Takeoff,Probable Cause,1987,2,22,cessna 172n,172,VACAVILLE, CA
16888,20001213X30330,Accident,NYC87LA094,1987-02-22,United States,NHO2,COLEBROOK,Non-Fatal,Substantial,Airplane,N3967R,piper,pa28180,No,1.0,Reciprocating,Personal,0.0,0.0,3.0,0.0,VMC,Landing,Probable Cause,1987,2,22,piper pa28180,pa-28,COLEBROOK, NH
16895,20001213X30186,Accident,ATL87LA076,1987-02-23,United States,4A7,BEAR CREEK,Non-Fatal,Substantial,Airplane,N7681W,piper,pa28180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,2,23,piper pa28180,pa-28,HAMPTON, GA
16902,20001213X30292,Accident,MIA87LA093,1987-02-25,United States,TLH,TALLAHASSEE MUNICIPAL,Non-Fatal,Substantial,Airplane,N89126,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,2,25,cessna 152,152,TALLAHASSEE, FL
16912,20001213X30333,Accident,NYC87LA100,1987-02-27,United States,17N,CROSS KEYS,Non-Fatal,Substantial,Airplane,N9821J,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,2,27,cessna 172,172,CROSS KEYS, NJ
16922,20001213X30470,Accident,LAX87LA132,1987-03-01,United States,L12,REDLANDS,Non-Fatal,Substantial,Airplane,N5466W,piper,pa28160,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Descent,Probable Cause,1987,3,1,piper pa28160,pa-28,REDLANDS, CA
16926,20001213X30521,Accident,MKC87LA054,1987-03-02,United States,,,Non-Fatal,Substantial,Airplane,N20362,cessna,172,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,1.0,VMC,Maneuvering,Probable Cause,1987,3,2,cessna 172,172,MALDEN, MO
16928,20001213X30443,Accident,FTW87LA071,1987-03-02,United States,9X52,WILLIAMS,Non-Fatal,Substantial,Airplane,N714KG,cessna,150m,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1987,3,2,cessna 150m,150,PORTER, TX
16930,20001213X30386,Accident,BFO87LA025,1987-03-02,United States,CHO,CHARLOTTESVILLE-ALBEMARLE,Non-Fatal,Substantial,Airplane,N734ZD,cessna,172n,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,3,2,cessna 172n,172,CHARLOTTESVILLE, VA
16938,20001213X30534,Accident,NYC87FA101,1987-03-05,United States,,,Fatal(1),Destroyed,Airplane,N6489R,piper,pa28140,No,1.0,Reciprocating,Instructional,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1987,3,5,piper pa28140,pa-28,LOCKE, NY
16942,20001213X30539,Accident,NYC87LA102,1987-03-05,United States,DXR,DANBURY,Non-Fatal,Substantial,Airplane,N5277E,cessna,172n,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,3,5,cessna 172n,172,DANBURY, CT
16950,20001213X30542,Accident,NYC87LA107,1987-03-06,United States,N87,TRENTON-ROBBINSVILLE,Non-Fatal,Substantial,Airplane,N94902,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,3,6,cessna 152,152,ROBBINSVILLE, NJ
16951,20001213X30522,Accident,MKC87LA055,1987-03-06,United States,,,Non-Fatal,Substantial,Airplane,N704QT,cessna,150,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Climb,Probable Cause,1987,3,6,cessna 150,150,NEWTON, KS
16958,20001213X30471,Accident,LAX87LA137,1987-03-07,United States,,,Non-Fatal,Substantial,Airplane,N6353F,cessna,172c,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Maneuvering,Probable Cause,1987,3,7,cessna 172c,172,KAHULUI, HI
16962,20001213X30400,Accident,CHI87LA090,1987-03-07,United States,,,Non-Fatal,Substantial,Airplane,N22793,cessna,150h,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Approach,Probable Cause,1987,3,7,cessna 150h,150,HOPKINS, MI
16965,20001213X30366,Accident,ATL87LA080,1987-03-07,United States,EXX,LEXINGTON MUNICIPAL,Non-Fatal,Substantial,Airplane,N61639,cessna,172m,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1987,3,7,cessna 172m,172,LEXINGTON, NC
16970,20001213X30551,Accident,SEA87LA063,1987-03-08,United States,,,Non-Fatal,Substantial,Airplane,N68747,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1987,3,8,cessna 152,152,COBURG, OR
16971,20001213X30540,Accident,NYC87LA103,1987-03-08,United States,5B7,RENSSELAER,Non-Fatal,Substantial,Airplane,N714CD,cessna,150m,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1987,3,8,cessna 150m,150,POESTENKILL, NY
16974,20001213X30472,Accident,LAX87LA138,1987-03-08,United States,IZA,SANTA YNEZ,Non-Fatal,Substantial,Airplane,N8162X,piper,pa28rt201t,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,1987,3,8,piper pa28rt201t,pa-28,SANTA YNEZ, CA
16977,20001213X30403,Accident,CHI87LA093,1987-03-08,United States,,,Non-Fatal,Substantial,Airplane,N4200J,piper,pa28140,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,1.0,VMC,Takeoff,Probable Cause,1987,3,8,piper pa28140,pa-28,GENOA, IL
16983,20001213X30358,Accident,ATL87FA087,1987-03-09,United States,,,Fatal(1),Destroyed,Airplane,N50077,cessna,150h,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Maneuvering,Probable Cause,1987,3,9,cessna 150h,150,ONEIDA, TN
17001,20001213X30407,Accident,CHI87LA097,1987-03-12,United States,,,Non-Fatal,Substantial,Airplane,N5140S,piper,pa28r,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Descent,Probable Cause,1987,3,12,piper pa28r,pa-28,HOLLAND, MI
17005,20001213X30348,Accident,ANC87LA047,1987-03-12,United States,MRI,MERRILL FIELD,Non-Fatal,Substantial,Airplane,N5972T,cessna,150d,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1987,3,12,cessna 150d,150,ANCHORAGE, AK
17008,20001213X30448,Accident,FTW87LA076,1987-03-13,United States,52F,AERO VALLEY-HYDE-WAY,Non-Fatal,Substantial,Airplane,N64943,cessna,172p,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1987,3,13,cessna 172p,172,ROANOKE, TX
17010,20001213X30369,Accident,ATL87LA085,1987-03-13,United States,M08,BOLIVAR-HARDEMAN,Non-Fatal,Substantial,Airplane,N25503,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,3,13,cessna 152,152,BOLIVAR, TN
17020,20001213X30438,Accident,FTW87FA078,1987-03-15,United States,ERV,KERRVILLE,Fatal(3),Destroyed,Airplane,N6785F,piper,pa28151,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,1987,3,15,piper pa28151,pa-28,KERRVILLE, TX
17028,20001213X30508,Accident,MIA87LA111,1987-03-16,United States,SRQ,SARASOTA-BRADENTON,Non-Fatal,Substantial,Airplane,N218JA,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,3,16,cessna 152,152,SARASOTA, FL
17029,20001213X30406,Accident,CHI87LA096,1987-03-16,United States,MIE,DELAWARE COUNTY,Non-Fatal,Substantial,Airplane,N7757U,cessna,172e,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,1987,3,16,cessna 172e,172,MUNCIE, IN
17039,20001213X30552,Accident,SEA87LA065,1987-03-18,United States,VGT,NORTH LAS VEGAN AIR TERM.,Non-Fatal,Substantial,Airplane,N457AF,cessna,150,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,3,18,cessna 150,150,LAS VEGAS, NV
17054,20001213X30493,Accident,MIA87FA114,1987-03-20,United States,,,Fatal(2),Destroyed,Airplane,N726FL,piper,pa28140,No,1.0,Reciprocating,Personal,2.0,2.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1987,3,20,piper pa28140,pa-28,MIAMI, FL
17058,20001213X30389,Accident,CHI87DEC02,1987-03-20,United States,9G2,LINDEN,Non-Fatal,Substantial,Airplane,N3630L,cessna,172g,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Go-around,Probable Cause,1987,3,20,cessna 172g,172,LINDEN, MI
17062,20001213X30544,Accident,NYC87LA111,1987-03-21,United States,DUJ,DU BOIS-JEFFERSON COUNTY,Non-Fatal,Substantial,Airplane,N67911,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,3,21,cessna 152,152,DU BOIS, PA
17066,20001213X30371,Accident,ATL87LA089,1987-03-21,United States,,,Non-Fatal,Substantial,Airplane,N2948R,piper,pa28r200,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,2.0,VMC,Cruise,Probable Cause,1987,3,21,piper pa28r200,pa-28,DARIEN, GA
17071,20001213X30424,Accident,DEN87LA070,1987-03-22,United States,CNM,CAVERN CITY,Non-Fatal,Substantial,Airplane,N6285Q,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,1987,3,22,cessna 152,152,CARLSBAD, NM
17078,20001213X30481,Accident,LAX87LA155,1987-03-23,United States,,,Non-Fatal,Substantial,Airplane,N2439T,piper,pa28140,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Climb,Probable Cause,1987,3,23,piper pa28140,pa-28,ANZA, CA
17079,20001213X30425,Accident,DEN87LA071,1987-03-23,United States,ND31,LARIMORE,Non-Fatal,Substantial,Airplane,N1725F,cessna,172h,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,1987,3,23,cessna 172h,172,LARIMORE, ND
17093,20001213X30378,Accident,ATL87LA096,1987-03-26,United States,OWB,OWENSBORO,Non-Fatal,Substantial,Airplane,N757LM,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,3,26,cessna 152,152,OWENSBORO, KY
17104,20001213X30488,Accident,LAX87LA163,1987-03-27,United States,SBP,SAN LUIS OBISPO,Non-Fatal,Substantial,Airplane,N9306W,piper,pa28235,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,1987,3,27,piper pa28235,pa-28,SAN LUIS OBISPO, CA
17109,20001213X30556,Accident,SEA87LA070,1987-03-28,United States,2S6,SPORTSMAN,Non-Fatal,Substantial,Airplane,N4298T,piper,pa28140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,1987,3,28,piper pa28140,pa-28,NEWBERG, OR
17110,20001213X30532,Accident,MKC87LA068,1987-03-28,United States,,,Non-Fatal,Substantial,Airplane,N6978F,cessna,150f,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,3,28,cessna 150f,150,FREMONT, MO
17111,20001213X30516,Accident,MIA87LA132,1987-03-28,United States,,,Non-Fatal,Substantial,Airplane,N12497,cessna,172m,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,1987,3,28,cessna 172m,172,CLARKSDALE, MS
17116,20001213X30453,Accident,FTW87LA085,1987-03-28,United States,PSN,PALESTINE MUN,Non-Fatal,Substantial,Airplane,N22064,cessna,150h,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,1987,3,28,cessna 150h,150,PALESTINE, TX
17119,20001213X30430,Accident,DEN87LA076,1987-03-28,United States,ND06,CAVALIER MUNICIPAL,Non-Fatal,Substantial,Airplane,N2848V,cessna,150m,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,1987,3,28,cessna 150m,150,CAVALIER, ND
17129,20001213X30487,Accident,LAX87LA162,1987-03-30,United States,SZP,SANTA PAULA,Non-Fatal,Substantial,Airplane,N6339K,cessna,172p,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Landing,Probable Cause,1987,3,30,cessna 172p,172,SANTA PAULA, CA
17131,20001213X30356,Accident,ANC87LA056,1987-03-30,United States,,,Non-Fatal,Substantial,Airplane,N67767,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Approach,Probable Cause,1987,3,30,cessna 152,152,NIKOLAI, AK
17133,20001213X30415,Accident,DCA87MA023A,1987-03-31,United States,OAK,METRO OAKLAND INTL,Fatal(3),Destroyed,Airplane,N75584,cessna,172n,No,1.0,Reciprocating,Instructional,3.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,1987,3,31,cessna 172n,172,OAKLAND, CA
17139,20001213X30440,Accident,FTW87FA087,1987-03-31,United States,49R,REAL COUNTY,Non-Fatal,Substantial,Airplane,N4602R,piper,pa28140,No,1.0,Reciprocating,Instructional,0.0,1.0,1.0,0.0,VMC,Takeoff,Probable Cause,1987,3,31,piper pa28140,pa-28,LEAKEY, TX
17141,20001213X30775,Accident,MKC87LA073,1987-04-01,United States,22K,HOLSTEAD,Non-Fatal,Substantial,Airplane,N733PX,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,2.0,VMC,Landing,Probable Cause,1987,4,1,cessna 172,172,HALSTEAD, KS
17144,20001213X30744,Accident,MIA87LA123,1987-04-01,United States,HKS,HAWKINS,Non-Fatal,Substantial,Airplane,N7344A,cessna,a150m,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,1987,4,1,cessna a150m,150,JACKSON, MS
17145,20001213X30743,Accident,MIA87LA122,1987-04-01,United States,ORL,ORLANDO EXECUTIVE,Non-Fatal,Substantial,Airplane,N95904,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,4,1,cessna 152,152,ORLANDO, FL
17148,20001213X30580,Accident,ATL87LA103,1987-04-01,United States,,BROKEN S. RANCH,Non-Fatal,Substantial,Airplane,N2510Y,cessna,172d,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,1987,4,1,cessna 172d,172,OLIVER SPRINGS, TN
17152,20001213X30804,Accident,NYC87LA110,1987-04-02,United States,N83,BRIDGEPORT,Non-Fatal,Substantial,Airplane,N75336,piper,pa28,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1987,4,2,piper pa28,pa-28,BRIDGEPORT, NJ
17161,20001213X30572,Accident,ATL87FA104,1987-04-03,United States,,,Fatal(1),Destroyed,Airplane,N47887,piper,pa28r201,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,1987,4,3,piper pa28r201,pa-28,RHINE, GA
17171,20001213X30824,Accident,SEA87LA076,1987-04-04,United States,OR03,ALKALI STATE,Non-Fatal,Substantial,Airplane,N1770J,piper,pa28140,No,1.0,Reciprocating,Personal,0.0,0.0,3.0,1.0,VMC,Approach,Probable Cause,1987,4,4,piper pa28140,pa-28,ALKALI LAKE, OR
17178,20001213X30583,Accident,ATL87LA108,1987-04-04,United States,M54,LEBANON MUNICIPAL,Non-Fatal,Substantial,Airplane,N4974J,piper,pa28r180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,1987,4,4,piper pa28r180,pa-28,LEBANON, TN
17180,20001213X30778,Accident,MKC87LA076,1987-04-05,United States,,HENRY RAHLF'S FARM STRIP,Non-Fatal,Destroyed,Airplane,N79179,cessna,172,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,1987,4,5,cessna 172,172,MUSCATINE, IA
17188,20001213X30711,Accident,LAX87LA170,1987-04-05,United States,CXL,CALEXICO,Non-Fatal,Substantial,Airplane,N3085R,piper,pa28r200,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1987,4,5,piper pa28r200,pa-28,CALEXICO, CA
17194,20001213X30617,Accident,CHI87LA108,1987-04-06,United States,,,Non-Fatal,Destroyed,Airplane,N50305,cessna,150h,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1987,4,6,cessna 150h,150,TINLEY PARK, IL
17196,20001213X30606,Accident,CHI87DEE07,1987-04-06,United States,3HA,LANSING,Non-Fatal,Substantial,Airplane,N80379,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1987,4,6,cessna 172,172,LANSING, IL
17203,20001213X30643,Accident,DEN87LA089,1987-04-07,United States,BTF,SALT LAKE SKYPARK,Non-Fatal,Substantial,Airplane,N4970B,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,0.0,VMC,Maneuvering,Probable Cause,1987,4,7,cessna 152,152,BOUNTIFUL, UT
17204,20001213X30642,Accident,DEN87LA088,1987-04-07,United States,,,Non-Fatal,Substantial,Airplane,N67880,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,1987,4,7,cessna 152,152,MILFORD, UT
17211,20001213X30781,Accident,MKC87LA081,1987-04-08,United States,IRK,KIRKSVILLE MUNI,Non-Fatal,Substantial,Airplane,N5515Q,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,4,8,cessna 152,152,KIRKSVILLE, MO
17214,20001213X30704,Accident,LAX87FA172,1987-04-09,United States,,,Fatal(2),Destroyed,Airplane,N4304F,piper,pa28161,No,1.0,Reciprocating,Personal,2.0,2.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1987,4,9,piper pa28161,pa-28,MALIBU, CA
17215,20001213X30751,Accident,MIA87LA136,1987-04-09,United States,,,Non-Fatal,Substantial,Airplane,N6328D,cessna,172n,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Cruise,Probable Cause,1987,4,9,cessna 172n,172,BIG PINE KEY, FL
17216,20001213X30618,Accident,CHI87LA111,1987-04-09,United States,0C1,PONTIAC MUNICIPAL,Non-Fatal,Substantial,Airplane,N6039K,cessna,150m,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,4,9,cessna 150m,150,PONTIAC, IL
17217,20001213X30582,Accident,ATL87LA107,1987-04-09,United States,VDI,VIDALIA MUNICIPAL,Non-Fatal,Substantial,Airplane,N75961,cessna,172n,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,4,9,cessna 172n,172,VIDALIA, GA
17221,20001213X30670,Accident,FTW87FA093,1987-04-10,United States,SFI,POST GARZA,Non-Fatal,Substantial,Airplane,N8550J,cessna,150g,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,4,10,cessna 150g,150,POST, TX
17228,20001213X30798,Accident,NYC87FA120,1987-04-11,United States,,,Fatal(4),Destroyed,Airplane,N55309,cessna,172p,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1987,4,11,cessna 172p,172,BERWICK, ME
17229,20001213X30797,Accident,NYC87FA119,1987-04-11,United States,,STATE COLLEGE,Fatal(4),Destroyed,Airplane,N5535E,cessna,172n,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,1987,4,11,cessna 172n,172,FERGUSON TWNSHP, PA
17236,20001213X30584,Accident,ATL87LA109,1987-04-11,United States,AL57,PICKETT'S FLYIN AIRPORT,Non-Fatal,Substantial,Airplane,N8960S,cessna,150f,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Go-around,Probable Cause,1987,4,11,cessna 150f,150,BRANCHVILLE, AL
17240,20001213X30766,Accident,MKC87FA077,1987-04-12,United States,CBF,COUNCIL BLUIFFS,Fatal(1),Destroyed,Airplane,N50223,cessna,150h,No,1.0,Reciprocating,Instructional,1.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,1987,4,12,cessna 150h,150,COUNCIL BLUFFS, IA
17242,20001213X30587,Accident,ATL87LA113,1987-04-12,United States,3J1,RIDGELAND MUNICIPAL,Non-Fatal,Destroyed,Airplane,N9563V,cessna,172m,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,4,12,cessna 172m,172,RIDGELAND, SC
17250,20001213X30619,Accident,CHI87LA113,1987-04-13,United States,76G,MARINE CITY,Non-Fatal,Substantial,Airplane,N4857B,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,1987,4,13,cessna 152,152,MARINE CITY, MI
17251,20001213X30828,Accident,SEA87LA081,1987-04-14,United States,S13,MARTHA LAKE AIRPORT,Non-Fatal,Substantial,Airplane,N5437Q,cessna,150l,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,1987,4,14,cessna 150l,150,ALDERWOOD, WA
17257,20001213X30809,Accident,NYC87LA125,1987-04-15,United States,MHT,MANCHESTER,Non-Fatal,Substantial,Airplane,N24784,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,4,15,cessna 152,152,MANCHESTER, NH
17260,20001213X30650,Accident,DEN87LA098,1987-04-15,United States,4AC,CORONADO,Non-Fatal,Substantial,Airplane,N5280Q,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,Probable Cause,1987,4,15,cessna 152,152,ALBUQUERQUE, NM
17262,20001213X30741,Incident,MIA87IA134,1987-04-16,United States,,,Incident,Minor,Airplane,N539FT,piper,pa28rt201,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,1987,4,16,piper pa28rt201,pa-28,GRANT, FL
17270,20001213X30802,Accident,NYC87FA127,1987-04-17,United States,THV,YORK-THOMASVILLE,Fatal(4),Destroyed,Airplane,N7987W,piper,pa28180,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,1987,4,17,piper pa28180,pa-28,YORK, PA
17272,20001213X30738,Accident,MIA87FA135,1987-04-17,United States,,,Fatal(1),Destroyed,Airplane,N6505C,piper,pa28181,No,1.0,Reciprocating,Instructional,1.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,1987,4,17,piper pa28181,pa-28,FLORIDA CITY, FL
17284,20001213X30630,Accident,DEN87FA103,1987-04-18,United States,CO50,ELLICOTT,Fatal(1),Destroyed,Airplane,N64415,cessna,172m,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,1987,4,18,cessna 172m,172,ELLICOTT, CO
17287,20001213X30752,Accident,MIA87LA137,1987-04-18,United States,GNV,GAINESVILLE REGIONAL,Non-Fatal,Substantial,Airplane,N89627,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1987,4,18,cessna 152,152,GAINESVILLE, FL
17289,20001213X30682,Accident,FTW87LA098,1987-04-18,United States,8XS9,RUST,Non-Fatal,Substantial,Airplane,N2140D,piper,pa28161,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,1987,4,18,piper pa28161,pa-28,WARING, TX
17296,20001213X30810,Accident,NYC87LA128,1987-04-19,United States,,NEEB (PRIVATE),Non-Fatal,Substantial,Airplane,N43758,piper,pa28r201,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,1987,4,19,piper pa28r201,pa-28,LEHIGHTON, PA
17299,20001213X30754,Accident,MIA87LA139,1987-04-19,United States,,,Non-Fatal,Substantial,Airplane,N24511,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,1987,4,19,cessna 152,152,MELBOURNE, FL
17301,20001213X30721,Accident,LAX87LA183,1987-04-19,United States,LGB,LONG BEACH,Non-Fatal,Substantial,Airplane,N25331,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,4,19,cessna 152,152,LONG BEACH, CA
17312,20001213X30769,Accident,MKC87FA085,1987-04-20,United States,C-17,MARION,Fatal(2),Substantial,Airplane,N67751,cessna,152,No,1.0,Reciprocating,Instructional,2.0,0.0,0.0,0.0,VMC,Landing,Probable Cause,1987,4,20,cessna 152,152,MARION, IA
17313,20001213X30735,Accident,LAX87LA210,1987-04-20,United States,HHR,HAWTHORNE,Non-Fatal,Substantial,Airplane,N73614,cessna,172m,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,4,20,cessna 172m,172,HAWTHORNE, CA
17315,20001213X30723,Accident,LAX87LA185B,1987-04-20,United States,TUS,TUCSON,Non-Fatal,Substantial,Airplane,N3028U,cessna,172e,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,2.0,VMC,Taxi,Probable Cause,1987,4,20,cessna 172e,172,TUCSON, AZ
17317,20001213X30595,Accident,ATL87LA125,1987-04-20,United States,0M5,HUMPHREYS COUNTY,Non-Fatal,Substantial,Airplane,N60696,cessna,150j,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,1987,4,20,cessna 150j,150,WAVERLY, TN
17323,20001213X30784,Accident,MKC87LA086,1987-04-21,United States,,,Non-Fatal,Substantial,Airplane,N704UU,cessna,150,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1987,4,21,cessna 150,150,WEST MEMPHIS, AR
17325,20001213X30660,Accident,DEN87LA109,1987-04-21,United States,2V2,LONGMONT,Non-Fatal,Substantial,Airplane,N60282,cessna,150j,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1987,4,21,cessna 150j,150,LONGMONT, CO
17329,20001213X30830,Accident,SEA87LA083,1987-04-22,United States,,,Non-Fatal,Destroyed,Airplane,N21922,cessna,150l,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Descent,Probable Cause,1987,4,22,cessna 150l,150,TWIN FALLS, ID
